business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,document_create_date,document_create_date,due_in_date,invoice_currency,document type,posting_id,area_business,total_open_amount,baseline_create_date,cust_payment_terms,invoice_id,isOpen
U001,0200704858,WAKE trust,2019-04-05 00:00:00,2019.0,1929003413.0,2019-03-21,20190320,20190321,20190405.0,USD,RV,1.0,,38810.84,20190321.0,NAA8,1929003413.0,0
U001,0200769623,WAL-MAR co,2019-05-06 00:00:00,2019.0,1929205837.0,2019-04-25,20190424,20190425,20190510.0,USD,RV,1.0,,47462.61,20190425.0,NAH4,1929205837.0,0
U001,0200711029,WEGMAN ,2020-02-06 00:00:00,2020.0,1930430648.0,2020-01-22,20200122,20200122,20200206.0,USD,RV,1.0,,130598.09,20200122.0,NAA8,1930430648.0,0
U001,0200704858,WAKE ,2019-04-22 00:00:00,2019.0,1929130008.0,2019-04-11,20190411,20190411,20190426.0,USD,RV,1.0,,22637.83,20190411.0,NAA8,1929130008.0,0
U001,200769623,WAL-MAR ,2019-07-29 00:00:00,2019.0,1929623640.0,2019-07-18,20190716,20190718,20190802.0,USD,RV,1.0,,48524.21,20190718.0,NAH4,1929623640.0,0
U001,0200726979,BJ'S  llc,2019-02-13 00:00:00,2019.0,1928696989.0,2019-01-29,20190128,20190129,20190213.0,USD,RV,1.0,,55.21,20190129.0,NAA8,1928696989.0,0
U001,0200769623,WAL-MAR us,2019-02-21 00:00:00,2019.0,1928727729.0,2019-02-05,20190202,20190205,20190220.0,USD,RV,1.0,,18.64,20190205.0,NAH4,1928727729.0,0
U001,0200772670,ASSOCIAT llc,2020-03-12 00:00:00,2020.0,1930558874.0,2020-02-24,20200222,20200224,20200310.0,USD,RV,1.0,,84528.06,20200224.0,NAU5,1930558874.0,0
U001,0200726979,BJ'S  corporation,2019-09-18 00:00:00,2019.0,1929829726.0,2019-09-03,20190904,20190903,20190918.0,USD,RV,1.0,,356.82,20190903.0,NAA8,1929829726.0,0
U013,0140103470,D'ALB in,2019-04-24 00:00:00,2019.0,1991825355.0,2019-03-31,20190327,20190331,20190430.0,USD,RV,1.0,,7369.5,20190331.0,NAVE,1991825355.0,0
U001,0200418007,AM us,2019-03-25 00:00:00,2019.0,1928863707.0,2019-02-28,20190226,20190228,20190315.0,USD,RV,1.0,,642.6,20190228.0,NAA8,1928863707.0,0
U001,0200762301,C&S WH trust,2019-01-15 00:00:00,2019.0,1928532248.0,2018-12-30,20181229,20181230,20190114.0,USD,RV,1.0,,35530.13,20181230.0,NAC6,1928532248.0,0
U001,0200792734,MDV/ us,2019-04-01 00:00:00,2019.0,1928989081.0,2019-03-18,20190319,20190318,20190402.0,USD,RV,1.0,,106516.86,20190318.0,NAA8,1928989081.0,0
U001,0200726979,BJ'S  corp,2019-03-07 00:00:00,2019.0,1928819352.0,2019-02-19,20190218,20190219,20190306.0,USD,RV,1.0,,328.73,20190219.0,NAA8,1928819352.0,0
U001,0200769623,WAL-MAR ,2019-07-25 00:00:00,2019.0,1929492170.0,2019-06-19,20190614,20190619,20190704.0,USD,RV,1.0,,150.31,20190619.0,NAH4,1929492170.0,0
U001,0200769623,WAL-MAR us,2020-01-14 00:00:00,2020.0,1930349606.0,2020-01-03,20200103,20200103,20200118.0,USD,RV,1.0,,970.12,20200103.0,NAH4,1930349606.0,0
U001,CCCA02,KRAFT  trust,2019-05-31 00:00:00,2019.0,1929250110.0,2019-05-04,20190502,20190504,20190608.0,USD,RV,1.0,,12965.4,20190504.0,NAG2,1929250110.0,0
U001,200769623,WAL-MAR in,2019-07-17 00:00:00,2019.0,1929581341.0,2019-07-06,20190706,20190706,20190721.0,USD,RV,1.0,,3702.21,20190706.0,NAH4,1929581341.0,0
U013,0100034330,MASSY D corp,2019-04-25 00:00:00,2019.0,1991825341.0,2019-03-26,20190322,20190326,20190425.0,USD,RV,1.0,,10913.33,20190326.0,NAVE,1991825341.0,0
U001,0200759878,SA foundation,2019-10-01 00:00:00,2019.0,1929871925.0,2019-09-14,20190913,20190914,20190929.0,USD,RV,1.0,,10641.26,20190914.0,NAH4,1929871925.0,0
U001,0200764795,SYSCO  systems,2019-12-31 00:00:00,2019.0,1930272115.0,2019-12-12,20191212,20191212,20191227.0,USD,RV,1.0,,2762.45,20191212.0,NAA8,1930272115.0,0
U001,0200769623,WAL-MAR co,2019-10-04 00:00:00,2019.0,1929909619.0,2019-09-24,20190922,20190924,20191009.0,USD,RV,1.0,,14536.7,20190924.0,NAH4,1929909619.0,0
U001,0200729290,KROGER trust,2019-11-14 00:00:00,2019.0,1930077325.0,2019-10-30,20191031,20191030,20191114.0,USD,RV,1.0,,7294.03,20191030.0,NAA8,1930077325.0,0
U001,0200434439,BAUGH SU ,2020-03-09 00:00:00,2020.0,1930549722.0,2020-02-20,20200220,20200220,20200306.0,USD,RV,1.0,,63318.43,20200220.0,NAA8,1930549722.0,0
U001,0200780849,LAUREL us,2019-10-30 00:00:00,2019.0,1930009440.0,2019-10-14,20191014,20191014,20191029.0,USD,RV,1.0,,19377.77,20191014.0,NAA8,1930009440.0,0
U001,0200769623,WAL-MAR co,2019-03-05 00:00:00,2019.0,1928829639.0,2019-02-21,20190220,20190221,20190308.0,USD,RV,1.0,,37900.48,20190221.0,NAH4,1928829639.0,0
U001,0200769623,WAL-MAR us,2019-02-05 00:00:00,2019.0,1928644013.0,2019-01-18,20190117,20190118,20190202.0,USD,RV,1.0,,242.83,20190118.0,NAH4,1928644013.0,0
U001,0200759878,SA co,2019-04-24 00:00:00,2019.0,1929088296.0,2019-04-08,20190405,20190408,20190423.0,USD,RV,1.0,,18900.99,20190408.0,NAH4,1929088296.0,0
CA02,0140105686,SYSC trust,2019-12-19 00:00:00,2019.0,2960591063.0,2019-11-26,20191126,20191126,20191214.0,CAD,RV,1.0,,10153.3,20191204.0,CA10,2960591063.0,0
U001,0200769623,WAL-MAR corp,2019-04-08 00:00:00,2019.0,1929030237.0,2019-03-27,20190326,20190327,20190411.0,USD,RV,1.0,,23865.12,20190327.0,NAH4,1929030237.0,0
U001,0200769623,WAL-MAR us,2019-12-23 00:00:00,2019.0,1930265524.0,2019-12-12,20191211,20191212,20191227.0,USD,RV,1.0,,37605.12,20191212.0,NAH4,1930265524.0,0
